"Method","Test","Satisfaction"
"1",3,3.001
"1",2.99,2.994
"1",3.041,3.032
"1",3.063,3.059
"1",3.035,3.026
"1",3.009,3.003
"1",3.032,3.025
"1",3.026,3.024
"1",3.039,3.03
"1",3.015,3.011
"1",3.018,3.008
"1",3.008,3.003
"1",3.012,3.007
"1",3,3.01
"1",3.003,2.997
"1",3.018,3.012
"2",3.05,3.045
"2",3.008,3.003
"2",2.997,2.993
"2",3.014,3.007
"2",3.009,3.006
"2",3.01,3
"2",3,2.993
"2",3.044,3.035
"2",3.041,3.041
"2",3.033,3.022
"2",3.018,3.012
"2",3.015,3.004
"2",3.013,3.003
"2",3.036,3.03
"2",3.024,3.017
"2",3.015,3.002
"3",3.017,3.001
"3",3.029,3.005
"3",3.048,3.036
"3",3.015,2.997
"3",3.04,3.017
"3",3.03,3.022
"3",3.027,3.014
"3",3.027,3.013
"3",3.027,3.017
"3",3.03,3.02
"3",3.024,3.01
"3",3.039,3.026
"3",3.007,2.985
"3",3.041,3.033
"3",3.021,3.002
"3",3.023,3.012
